alpha          TP        FP        TN        FN        sensitivity         averageSquareTrim   leftMedian          rightMedian         leftMedianPositive  rightMedianPositive leftMedianNegative  rightMedianNegative
0.002          992       3         0         8         0.992               3.05241935484       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.002          992       2         0         8         0.992               2.64919354839       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.002          983       10        0         17        0.983               4.62767039674       0                   0                   0                   0                   -1.0                -1.0                                    
0.002          989       5         0         11        0.989               12.564206269        0                   0                   0                   0                   -1                  -1                                      
0.002          983       6         0         17        0.983               0.158697863683      0                   0                   0                   0                   -1                  -1.0                                    
0.002          987       2         0         13        0.987               0.109422492401      0                   0                   0                   0                   -2.0                -1                                      
0.002          977       10        0         23        0.977               0.108495394063      0                   0                   0                   1                   -1.0                -1.0                                    
0.002          990       4         0         10        0.99                0.107070707071      0.0                 0.0                 0                   0                   -1                  -1                                      
0.002          994       2         0         6         0.994               8.29879275654       0.0                 0.0                 0                   0                   -1                  -1                                      
0.002          993       2         0         7         0.993               6.03625377644       0                   0                   0                   0                   -1                  -1                                      
0.002          990       3         0         10        0.99                6.21111111111       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.002          988       3         0         12        0.988               14.4139676113       0.0                 0.0                 0                   1                   -1                  -1.0                                    
0.002          994       3         0         6         0.994               4.34708249497       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.002          986       5         0         14        0.986               4.3569979716        0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.002          986       3         0         14        0.986               7.25253549696       0.0                 0.0                 1                   0                   -1.0                -1                                      
0.002          982       6         0         18        0.982               6.33401221996       0.0                 0.0                 0                   0                   -1.5                -2                                      
0.002          987       7         0         13        0.987               9.60385005066       0                   0                   0                   0                   -1                  -1.0                                    
0.002          986       5         0         14        0.986               2.66734279919       0.0                 0.0                 0                   0                   -1                  -2.0                                    
0.002          988       4         0         12        0.988               7.39574898785       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.002          989       7         0         11        0.989               0.093023255814      0                   0                   0                   0                   -1.0                -1.0                                    
0.002          993       3         0         7         0.993               5.65760322256       0                   0                   0                   0                   -1                  -1.5                                    
0.002          989       6         0         11        0.989               10.1991911021       0                   0                   0                   0                   -1.0                -1                                      
0.002          983       5         0         17        0.983               0.22990844354       0                   0                   0                   0                   -1.0                -2                                      
0.002          991       6         0         9         0.991               7.7225025227        0                   0                   0                   1                   -1.0                -1.0                                    
0.002          991       6         0         9         0.991               21.0615539859       0                   0                   0                   0                   -1.0                -1                                      
0.002          989       6         0         11        0.989               1.17189079879       0                   0                   0                   0                   -1                  -1                                      
0.002          990       5         0         10        0.99                1.53838383838       0.0                 0.0                 1                   1                   -1                  -2                                      
0.002          988       6         0         12        0.988               0.0637651821862     0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.002          986       7         0         14        0.986               6.90365111562       0.0                 0.0                 0                   0                   -1                  -1                                      
0.002          991       5         0         9         0.991               0.140262361251      0                   0                   0                   0                   -1                  -1.0                                    
0.002          983       9         0         17        0.983               7.64089521872       0                   0                   0                   0                   -1.0                -1                                      
0.002          990       1         0         10        0.99                0.0959595959596     0.0                 0.0                 0                   1                   -1.0                -1.0                                    
0.002          989       4         0         11        0.989               0.119312436805      0                   0                   0                   1                   -1.0                -1                                      
0.002          990       0         0         10        0.99                6.87474747475       0.0                 0.0                 0                   0                   -1                  -1                                      
0.002          981       9         0         19        0.981               1.59225280326       0                   0                   0                   0                   -1                  -2                                      
0.002          986       3         0         14        0.986               8.91379310345       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.002          980       10        0         20        0.98                7.2887755102        0.0                 0.0                 0                   1                   -1                  -1                                      
0.002          983       10        0         17        0.983               0.161749745677      0                   0                   0                   0                   -1.0                -1                                      
0.002          977       10        0         23        0.977               3.82395087001       0                   0                   0                   0                   -1                  -1                                      
0.002          983       9         0         17        0.983               4.28179043744       0                   0                   0                   0                   -1                  -1.0                                    
0.002          991       3         0         9         0.991               0.134207870838      0                   0                   0                   0                   -1                  -1                                      
0.002          991       4         0         9         0.991               0.0847628657921     0                   0                   0                   1.0                 -1                  -1                                      
0.002          991       2         0         9         0.991               4.74268415742       0                   0                   0                   0                   -1                  -1.0                                    
0.002          988       8         0         12        0.988               0.247975708502      0.0                 0.0                 0                   0                   -1.0                -1                                      
0.002          983       6         0         17        0.983               9.81586978637       0                   0                   0                   0                   -1                  -1.0                                    
0.002          988       3         0         12        0.988               0.14979757085       0.0                 0.0                 0                   0                   -2.0                -1.0                                    
0.002          992       1         0         8         0.992               3.12802419355       0.0                 0.0                 0                   0                   -1                  -1                                      
0.002          986       5         0         14        0.986               3.72312373225       0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.002          991       1         0         9         0.991               9.03329969728       0                   0                   0                   0                   -1                  -1                                      
0.002          989       5         0         11        0.989               3.27199191102       0                   0                   0                   0                   -1                  -1                                      
0.003          988       8         0         12        0.988               4.98076923077       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.003          983       6         0         17        0.983               0.145473041709      0                   0                   0                   0                   -1.0                -1                                      
0.003          993       1         0         7         0.993               8.13595166163       0                   0                   0                   0                   -1                  -1                                      
0.003          990       3         0         10        0.99                0.176767676768      0.0                 0.0                 0                   1                   -1                  -1                                      
0.003          978       10        0         22        0.978               0.131901840491      0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.003          989       3         0         11        0.989               9.8432760364        0                   0                   0                   0                   -1.0                -1.0                                    
0.003          988       3         0         12        0.988               0.143724696356      0.0                 0.0                 0                   0                   -1                  -1                                      
0.003          990       3         0         10        0.99                2.25656565657       0.0                 0.0                 0                   0                   -1                  -1                                      
0.003          988       4         0         12        0.988               0.138663967611      0.0                 0.0                 0                   0                   -1                  -1                                      
0.003          986       5         0         14        0.986               0.161257606491      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.003          984       9         0         16        0.984               0.969512195122      0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.003          990       3         0         10        0.99                15.4777777778       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.003          987       5         0         13        0.987               0.377912867275      0                   0                   0                   0                   -1.0                -1.0                                    
0.003          991       4         0         9         0.991               0.160443995964      0                   0                   0                   0                   -1.0                -1.0                                    
0.003          990       3         0         10        0.99                3.84343434343       0.0                 0.0                 0                   0                   -1.0                -2.0                                    
0.003          994       1         0         6         0.994               0.250503018109      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.003          987       8         0         13        0.987               2.65856129686       0                   0                   0                   0                   -1.0                -1.0                                    
0.003          991       4         0         9         0.991               0.130171543895      0                   0                   0                   0                   -1.0                -1                                      
0.003          992       3         0         8         0.992               3.73790322581       0.0                 0.0                 0                   0                   -1                  -1.0                                    
0.003          989       5         0         11        0.989               0.182002022245      0                   0                   0                   0                   -1.0                -1.0                                    
0.003          991       3         0         9         0.991               5.20080726539       0                   0                   0                   0                   -1                  -1                                      
0.003          991       4         0         9         0.991               0.116044399596      0                   0                   1                   0                   -1.0                -1                                      
0.003          985       5         0         15        0.985               0.254822335025      0                   0                   0                   0                   -1.5                -1.0                                    
0.003          989       4         0         11        0.989               0.136501516684      0                   0                   0                   0                   -1.0                -1.0                                    
0.003          990       5         0         10        0.99                14.9343434343       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.003          988       5         0         12        0.988               0.147773279352      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.003          987       5         0         13        0.987               11.4964539007       0                   0                   0                   0                   -1                  -1.0                                    
0.003          993       3         0         7         0.993               16.8378650554       0                   0                   0                   0                   -1.5                -1                                      
0.003          981       6         0         19        0.981               0.183486238532      0                   0                   0                   0                   -1.0                -1.0                                    
0.003          985       4         0         15        0.985               8.50659898477       0                   0                   0                   0                   -1.0                -1.0                                    
0.003          984       8         0         16        0.984               0.108739837398      0.0                 0.0                 0                   0                   -1.0                -1.0                                    
0.003          991       3         0         9         0.991               5.71241170535       0                   0                   0                   0                   -1                  -1                                      
0.003          996       2         0         4         0.996               7.57429718876       0.0                 0.0                 0                   0                   -1.0                -1                                      
0.003          984       4         0         16        0.984               6.18800813008       0.0                 0.0                 1                   0                   -1.0                -1                                      
0.003          982       4         0         18        0.982               5.49490835031       0.0                 0.0                 0                   0                   -1                  -2.0                                    
0.003          993       2         0         7         0.993               8.49345417925       0                   0                   0                   0                   -1.0                -1                                      
0.003          991       6         0         9         0.991               0.17961654894       0                   0                   0                   0                   -1.0                -1.0                                    
0.003          981       9         0         19        0.981               11.6992864424       0                   0                   0                   0                   -1.0                -1                                      
0.003          986       6         0         14        0.986               6.11460446247       0.0                 0.0                 0                   0                   -1                  -1                                      
0.003          990       4         0         10        0.99                0.285858585859      0.0                 0.0                 0                   0                   -1.0                -1                                      
